feature,importance_mean,importance_std
formation_temperature_c,0.016918666426815405,0.013981226281917222
effective_thickness_avg_segment_m,0.007235413447555054,0.008561056643889509
effective_thickness_m,0.006415718531365526,0.01581988532628933
perforation_segment_count,0.0063365000074836015,0.00797200822170591
depth_to_thickness_ratio,0.0049909732088423975,0.014900809529785331
oil_saturation_range_ratio,0.0003803042073787094,0.010997251639417678
perforation_continuity_ratio,0.00023213848185129707,0.012472204082568447
layer_token_count,0.0,0.0
effective_thickness_segment_count,0.0,0.0
effective_thickness_max_segment_m,0.0,0.0
effective_thickness_range_ratio,0.0,0.0
effective_to_perforated_ratio,-0.0014849049955091103,0.0049248727194280886
storage_capacity_index,-0.002160739413392491,0.012315829137124076
porosity_range_ratio,-0.0031651217102582666,0.006537569667378674
perforated_gross_span_m,-0.006698587552211889,0.012368940024324754
reservoir_depth_m,-0.007813042144255869,0.01445206744983612
permeability_range_ratio,-0.00783185753505112,0.013886640804029918
flow_capacity_log_kh,-0.008261424439017659,0.011378799608372535
pressure_gradient_mpa_per_100m,-0.00838539870292937,0.015116988811266467
effective_to_gross_ratio,-0.01110295696890628,0.015125096670310069
perforated_total_thickness_m,-0.012003478040446755,0.008691324590475457
layer_primary,-0.012934749697042655,0.010785929864159934
permeability_log_md,-0.018628137369039677,0.030269101969058007
porosity_pct,-0.020355036934351117,0.01553087238309531
formation_pressure_mpa,-0.021083418789094824,0.019801497266792534
oil_saturation_pct,-0.02113733793695746,0.015528317054931174
reservoir_quality_index,-0.02477925853566589,0.016659021533671256
